Base_datos;Grupo;Tabla;Columna;Tipo_dato;Descripcion
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"id";"UUID PK";"Secuencia de codigos auto-consecutivos transversal a TODOS los catalogos GRH."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"company_id";"UUID NOT NULL";"Tenant. NULL solo si el catalogo es global del sistema."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"catalog_type";"VARCHAR(60) NOT NULL";"Ej. shift_template | cell_state | work_modality | attendance_site | operational_label | territory | operational_front | eps | positions..."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"prefix";"VARCHAR(10) NULL";"Prefijo opcional (T, EST, SIT)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"next_value";"INT NOT NULL DEFAULT 1";"Siguiente consecutivo."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"pad_length";"SMALLINT NOT NULL DEFAULT 3";"Relleno (001)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"catalog_code_sequence";"UNIQUE";"(company_id, catalog_type)";"Una secuencia por empresa y tipo."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"id";"UUID PK";"Plantilla de turno OPERATIVO (Manana A, Noche B). NO es work_schedule (jornada contractual)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code). Preferible via catalog_code_sequence."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"name";"VARCHAR(120) NOT NULL";"Nombre visible."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"start_time";"TIME NOT NULL";"Hora inicio. Un turno = un horario (zona no lo cambia)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"end_time";"TIME NOT NULL";"Hora fin."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"crosses_midnight";"BOOLEAN NOT NULL DEFAULT FALSE";"Fin al dia siguiente."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"color_hex";"VARCHAR(7) NULL";"Color en grilla."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"net_hours";"NUMERIC(5,2) NULL";"Horas netas de referencia."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"multi_break_enabled";"BOOLEAN NOT NULL DEFAULT FALSE";"Permite varios breaks (#11)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"created_at";"TIMESTAMPTZ NOT NULL";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"updated_at";"TIMESTAMPTZ NOT NULL";""
